,course,learning objectives,keywords_str
675,NTC32,Demonstrate principles of biosecurity when entering/exiting FMD infected premises; ,"Demonstrate, principles, biosecurity, entering/exiting, FMD, infected, premises, ;"
676,NTC32,Construct an epidemiological timeline for backwards and forwards tracing; ,"Construct, epidemiological, timeline, backwards, forwards, tracing, ;"
677,NTC32,Assess risk factors for FMD spread and appraisal of farm biosecurity; ,"Assess, risk, factors, FMD, spread, appraisal, farm, biosecurity, ;"
678,NTC33,Take samples to permit laboratory confirmation of disease; ,"Take, samples, permit, laboratory, confirmation, disease, ;"
679,NTC33,Submit samples to the laboratory; ,"Submit, samples, laboratory, ;"
680,NTC33,Outline FMD emergency response options available in the scenario provided; ,"Outline, FMD, emergency, response, options, available, scenario, provided, ;"
681,NTC33,Interpret laboratory results following submission of suspect FMD samples to the laboratory; ,"Interpret, laboratory, results, following, submission, suspect, FMD, samples, laboratory, ;"
682,NTC33,Identify clinical signs of FMD; ,"Identify, clinical, signs, FMD, ;"
683,NTC33,Estimate lesion ages; ,"Estimate, lesion, ages, ;"
684,NTC33,Document clinical findings; ,"Document, clinical, findings, ;"
685,NTC33,Design and construct an investigation using the principles of outbreak investigation; ,"Design, construct, investigation, using, principles, outbreak, investigation, ;"
686,NTC33,Demonstrate principles of biosecurity when entering/exiting FMD infected premises; ,"Demonstrate, principles, biosecurity, entering/exiting, FMD, infected, premises, ;"
687,NTC33,Construct an epidemiological timeline for backwards and forwards tracing; ,"Construct, epidemiological, timeline, backwards, forwards, tracing, ;"
688,NTC33,Assess risk factors for FMD spread and appraisal of farm biosecurity; ,"Assess, risk, factors, FMD, spread, appraisal, farm, biosecurity, ;"
689,Passive surveillance tutored course,Improve understanding and awareness of passive surveillance as early detection system for FAST diseases outbreaks and for providing evidence of freedom from FAST diseases ,"Improve, understanding, awareness, passive, surveillance, early, detection, system, FAST, diseases, outbreaks, providing, evidence, freedom, FAST, diseases"
690,Passive surveillance tutored course,Improve sample collection (quality and quantity) ,"Improve, sample, collection, (, quality, quantity, )"
691,Passive surveillance tutored course,Enhance the effectiveness of passive surveillance through the optimization of resources and collaboration with stakeholders ,"Enhance, effectiveness, passive, surveillance, optimization, resources, collaboration, stakeholders"
692,Putting vaccination into practice,"Plan for implementation of emergency vaccination in different outbreak scenarios, including the targeted use of vaccination, the prioritization of herds/flocks in relation to risk and managing resources (e.g. standard operational procedures (SOPs), workforce, cold chain, logistics, biosecurity, records, traceability, control, etc.);  ","Plan, implementation, emergency, vaccination, different, outbreak, scenarios, ,, including, targeted, use, vaccination, ,, prioritization, herds/flocks, relation, risk, managing, resources, (, e.g, ., standard, operational, procedures, (, SOPs, ), ,, workforce, ,, cold, chain, ,, logistics, ,, biosecurity, ,, records, ,, traceability, ,, control, ,, etc, ., ), ;"
693,Putting vaccination into practice,Outline the essential elements of a good emergency vaccination plan within the emergency preparedness planning context; ,"Outline, essential, elements, good, emergency, vaccination, plan, within, emergency, preparedness, planning, context, ;"
694,Putting vaccination into practice,"Explain the exit strategy, to comply with World Organisation for Animal Health (WOAH) and European Union rules on management of vaccinated animals and their products and requirements for surveillance, including evidence of vaccine and vaccination effectiveness and post-vaccination monitoring. ","Explain, exit, strategy, ,, comply, World, Organisation, Animal, Health, (, WOAH, ), European, Union, rules, management, vaccinated, animals, products, requirements, surveillance, ,, including, evidence, vaccine, vaccination, effectiveness, post-vaccination, monitoring, ."
695,Putting vaccination into practice,Explain the characteristics of FMD vaccines that affect the operational organization and influence the impact of vaccination; ,"Explain, characteristics, FMD, vaccines, affect, operational, organization, influence, impact, vaccination, ;"
696,Putting vaccination into practice,Develop communication messages related to vaccinate-to-live and vaccinate-to-kill approaches aimed for livestock keepers and the public; ,"Develop, communication, messages, related, vaccinate-to-live, vaccinate-to-kill, approaches, aimed, livestock, keepers, public, ;"
697,Putting vaccination into practice,Describe the range of emergency vaccination objectives and strategies;,"Describe, range, emergency, vaccination, objectives, strategies, ;"
698,Putting vaccination into practice,Describe the legal background to the use of FMD emergency vaccination and post-vaccination recovery procedures;  ,"Describe, legal, background, use, FMD, emergency, vaccination, post-vaccination, recovery, procedures, ;"
699,PVM5,Understand the difference between vaccine efficacy and vaccine effectiveness and how to conduct field studies into vaccine effectiveness.  ,"Understand, difference, vaccine, efficacy, vaccine, effectiveness, conduct, field, studies, vaccine, effectiveness, ."
700,PVM5,"Explain the principles of vaccination, the key features of currently available FMD vaccines and the limitations of these vaccines ","Explain, principles, vaccination, ,, key, features, currently, available, FMD, vaccines, limitations, vaccines"
701,PVM5,Evaluate the immune response to a vaccine and perform serological studies to assess vaccine quality and population immunity ,"Evaluate, immune, response, vaccine, perform, serological, studies, assess, vaccine, quality, population, immunity"
702,PVM5,Evaluate a vaccination programme and make recommendations for improvements ,"Evaluate, vaccination, programme, make, recommendations, improvements"
703,PVM5,Determine and monitor vaccination coverage ,"Determine, monitor, vaccination, coverage"
704,PVM5,Describe what makes a good FMD vaccine and scrutinise the information provided by manufacturers to select the most appropriate vaccine and vaccination regime for use in a particular vaccination programme ,"Describe, makes, good, FMD, vaccine, scrutinise, information, provided, manufacturers, select, appropriate, vaccine, vaccination, regime, use, particular, vaccination, programme"
705,PVM5,Describe different vaccination strategies and explain their role in disease control strategies  ,"Describe, different, vaccination, strategies, explain, role, disease, control, strategies"
706,PVM5,Conduct investigations into reported vaccine/vaccination failures. ,"Conduct, investigations, reported, vaccine/vaccination, failures, ."
707,PVM5,"Check that appropriate records, including monitoring cold chain are being kept to enable vaccination programmes to be monitored and evaluated ","Check, appropriate, records, ,, including, monitoring, cold, chain, kept, enable, vaccination, programmes, monitored, evaluated"
708,RTC2,take and submit samples to permit laboratory confirmation of disease ,"take, submit, samples, permit, laboratory, confirmation, disease"
709,RTC2,outline FMD emergency response options available in the scenario provided ,"outline, FMD, emergency, response, options, available, scenario, provided"
710,RTC2,interpret laboratory results ,"interpret, laboratory, results"
711,RTC2,"identify clinical signs of FMD, estimate lesion ages, document clinical findings ","identify, clinical, signs, FMD, ,, estimate, lesion, ages, ,, document, clinical, findings"
712,RTC2,design and construct an investigation using the principles of outbreak investigation ,"design, construct, investigation, using, principles, outbreak, investigation"
713,RTC2,demonstrate principles of biosecurity when entering/exiting FMD infected premises ,"demonstrate, principles, biosecurity, entering/exiting, FMD, infected, premises"
714,RTC2,construct an epidemiological timeline for backwards and forwards tracing ,"construct, epidemiological, timeline, backwards, forwards, tracing"
715,RTC2,assess risk factors for FMD spread and appraise farm biosecurity ,"assess, risk, factors, FMD, spread, appraise, farm, biosecurity"
716,SimEx,plan the scenario documents;  ,"plan, scenario, documents, ;"
717,SimEx,plan the evaluation of a small tabletop exercise or drill. ,"plan, evaluation, small, tabletop, exercise, drill, ."
718,SimEx,"explain the importance of simulation exercises for improving emergency preparedness, and the purposes for which they can be used;  ","explain, importance, simulation, exercises, improving, emergency, preparedness, ,, purposes, used, ;"
719,SimEx,explain how to conduct a small tabletop exercise or drill;   ,"explain, conduct, small, tabletop, exercise, drill, ;"
720,SimEx,draft a concept note for an exercise;  ,"draft, concept, note, exercise, ;"
721,SimEx,develop a needs-based exercise plan; including drafting the exercise aim and objectives and defining the scope of the exercise;  ,"develop, needs-based, exercise, plan, ;, including, drafting, exercise, aim, objectives, defining, scope, exercise, ;"
722,vRTT FAST Australia,relate the recent changes in global and regional distribution of priority EADs to the evolving risk situation in Australia;,"relate, recent, changes, global, regional, distribution, priority, EADs, evolving, risk, situation, Australia, ;"
723,vRTT FAST Australia,outline EAD preparedness activities and disease response options available in Australia.,"outline, EAD, preparedness, activities, disease, response, options, available, Australia, ."
724,vRTT FAST Australia,interpret laboratory results relating to FMD diagnostic testing;,"interpret, laboratory, results, relating, FMD, diagnostic, testing, ;"
725,vRTT FAST Australia,highlight any key differences in the interpretation of laboratory results for FAST;,"highlight, key, differences, interpretation, laboratory, results, FAST, ;"
726,vRTT FAST Australia,explain the principles of biosecurity and their application to personnel entering FMD infected premises;,"explain, principles, biosecurity, application, personnel, entering, FMD, infected, premises, ;"
727,vRTT FAST Australia,"explain the epidemiology of FMD, including risk factors for transmission, mechanisms of disease spread;","explain, epidemiology, FMD, ,, including, risk, factors, transmission, ,, mechanisms, disease, spread, ;"
728,vRTT FAST Australia,explain how to conduct a clinical examination and the typical the clinical signs that would be seen in cases of FAST;,"explain, conduct, clinical, examination, typical, clinical, signs, would, seen, cases, FAST, ;"
729,vRTT FAST Australia,explain how to collect and submit appropriate samples to enable laboratory diagnosis of FAST;,"explain, collect, submit, appropriate, samples, enable, laboratory, diagnosis, FAST, ;"
730,vRTT FAST Australia,explain how key differences in the pathogenesis and transmissibility of non-FMD EADs affect the biosecurity measures that should be applied;,"explain, key, differences, pathogenesis, transmissibility, non-FMD, EADs, affect, biosecurity, measures, applied, ;"
731,vRTT FAST Australia,explain how key differences in the epidemiology of non-FMD EADs affect processes for outbreak investigation of these diseases;,"explain, key, differences, epidemiology, non-FMD, EADs, affect, processes, outbreak, investigation, diseases, ;"
732,vRTT FAST Australia,estimate FMD lesion ages;,"estimate, FMD, lesion, ages, ;"
733,vRTT FAST Australia,"describe the global distribution, significance and impacts of FMD and the risks and consequences of an FMD outbreak in Australia;","describe, global, distribution, ,, significance, impacts, FMD, risks, consequences, FMD, outbreak, Australia, ;"
734,vRTT FAST Australia,"apply epidemiological principles to on-farm and in-field investigations, including design of investigation forms, construction of timelines and forward and backward tracing;","apply, epidemiological, principles, on-farm, in-field, investigations, ,, including, design, investigation, forms, ,, construction, timelines, forward, backward, tracing, ;"
735,FAST diseases: Wildlife surveillance,summarize the measures to be implemented in case of a FAST diseases outbreak and related infections shared with wildlife in the European Union (EU); ,"summarize, measures, implemented, case, FAST, diseases, outbreak, related, infections, shared, wildlife, European, Union, (, EU, ), ;"
736,FAST diseases: Wildlife surveillance,implement appropriate biosecurity measures when handling a suspected case of FAST diseases in wildlife; ,"implement, appropriate, biosecurity, measures, handling, suspected, case, FAST, diseases, wildlife, ;"
737,FAST diseases: Wildlife surveillance,explain the principles of epidemiological surveillance of FAST diseases in wildlife; ,"explain, principles, epidemiological, surveillance, FAST, diseases, wildlife, ;"
738,FAST diseases: Wildlife surveillance,explain the epidemiology of FAST diseases and related infections shared with wildlife; ,"explain, epidemiology, FAST, diseases, related, infections, shared, wildlife, ;"
739,FAST diseases: Wildlife surveillance,describe the etiopathology of foot-and-mouth disease (FMD) and similar transboundary animal diseases (FAST diseases) related infections shared with wildlife; ,"describe, etiopathology, foot-and-mouth, disease, (, FMD, ), similar, transboundary, animal, diseases, (, FAST, diseases, ), related, infections, shared, wildlife, ;"
740,FAST diseases: Wildlife surveillance,collect appropriate samples in case of suspecting FAST diseases in wildlife. ,"collect, appropriate, samples, case, suspecting, FAST, diseases, wildlife, ."
741,FAST diseases: Wildlife surveillance,assess the feasibility of implementing invasive and non-invasive sampling techniques for the surveillance of FAST diseases in wild ungulates; ,"assess, feasibility, implementing, invasive, non-invasive, sampling, techniques, surveillance, FAST, diseases, wild, ungulates, ;"
742,FEPC France,Expliquer quels échantillons doivent être prélevés pour permettre le diagnostic de la fièvre aphteuse en laboratoire ;,"Expliquer, quels, échantillons, doivent, être, prélevés, pour, permettre, le, diagnostic, de, la, fièvre, aphteuse, en, laboratoire, ;"
743,FEPC France,Expliquer la pathogenèse de la fièvre aphteuse ;,"Expliquer, la, pathogenèse, de, la, fièvre, aphteuse, ;"
744,FEPC France,Expliquer comment mener une enquête épidémiologique dans une exploitation suspecte de fièvre aphteuse ;,"Expliquer, comment, mener, une, enquête, épidémiologique, dans, une, exploitation, suspecte, de, fièvre, aphteuse, ;"
745,FEPC France,Expliquer comment entrer et sortir d’une exploitation suspecte de fièvre aphteuse en suivant les règles de biosécurité ;,"Expliquer, comment, entrer, et, sortir, ’, une, exploitation, suspecte, de, fièvre, aphteuse, en, suivant, les, règles, de, biosécurité, ;"
746,FEPC France,"Décrire les signes cliniques présentés par les bovins, petits ruminants et porcins ;","Décrire, les, signes, cliniques, présentés, par, les, bovins, ,, petits, ruminants, et, porcins, ;"
747,FEPC France,Décrire les principaux aspects des mesures de contrôle mises en place dans un foyer de FA en cas d’émergence du virus dans un pays précédemment indemne.,"Décrire, les, principaux, aspects, des, mesures, de, contrôle, mises, en, place, dans, un, foyer, de, FA, en, cas, ’, émergence, du, virus, dans, un, pays, précédemment, indemne, ."
748,FEPC France,Décrire comment dater les lésions de fièvre aphteuse ;,"Décrire, comment, dater, les, lésions, de, fièvre, aphteuse, ;"
749,FITC Turkey 7,"şığırlarda, küçükbaş hayvanlarda ve domuzlarda şap hastalığının klinik bulgularını ve;","şığırlarda, ,, küçükbaş, hayvanlarda, domuzlarda, şap, hastalığının, klinik, bulgularını, ;"
750,FITC Turkey 7,şap hastalığının patogenezini açıklayabileceksiniz;,"şap, hastalığının, patogenezini, açıklayabileceksiniz, ;"
751,FITC Turkey 7,şap hastalığının laboratuvar teşhisini sağlamak için hangi numunelerin alınması gerektiğini;,"şap, hastalığının, laboratuvar, teşhisini, sağlamak, için, hangi, numunelerin, alınması, gerektiğini, ;"
752,FITC Turkey 7,şap hastalığının kontrolünde başarılı bir aşılama programının temel gereksinimlerini ve;,"şap, hastalığının, kontrolünde, başarılı, bir, aşılama, programının, temel, gereksinimlerini, ;"
753,FITC Turkey 7,şap hastalığından şüphelenilen ya da şap hastalığının doğrulandığı bir işletmede epidemiyolojik bir araştırmanın nasıl yapılacağını;,"şap, hastalığından, şüphelenilen, ya, da, şap, hastalığının, doğrulandığı, bir, işletmede, epidemiyolojik, bir, araştırmanın, nasıl, yapılacağını, ;"
754,FITC Turkey 7,şap hastalığından şüphelenilen işletmelere biyogüvenli bir şekilde nasıl giriş ve çıkış yapılacağını;,"şap, hastalığından, şüphelenilen, işletmelere, biyogüvenli, bir, şekilde, nasıl, giriş, çıkış, yapılacağını, ;"
755,FITC Turkey 7,şap hastalığı lezyon yaş tayininin nasıl yapılacağını tanımlayabileceksiniz;,"şap, hastalığı, lezyon, yaş, tayininin, nasıl, yapılacağını, tanımlayabileceksiniz, ;"
756,FITC Turkey 7,şap hastalığı kontrolü için Kademeli Kontrol Yolağı'nın (PCP-FMD) temel özelliklerini ana hatlarıyla açıklayabileceksiniz.,"şap, hastalığı, kontrolü, için, Kademeli, Kontrol, Yolağı'nın, (, PCP-FMD, ), temel, özelliklerini, ana, hatlarıyla, açıklayabileceksiniz, ."
757,Introduction à la dermatose nodulaire contagieuse,résumer les recommandations clés pour le contrôle et l’éradication de la DNC.,"résumer, les, recommandations, clés, pour, le, contrôle, et, l, ’, éradication, de, la, DNC, ."
758,Introduction à la dermatose nodulaire contagieuse,résumer les principales caractéristiques épidémiologiques de la DNC ;,"résumer, les, principales, caractéristiques, épidémiologiques, de, la, DNC, ;"
759,Introduction à la dermatose nodulaire contagieuse,donner des exemples des impacts socio-économiques de la DNC ;,"donner, des, exemples, des, impacts, socio-économiques, de, la, DNC, ;"
760,Introduction à la dermatose nodulaire contagieuse,décrire les signes cliniques de la DNC chez les bovins ;,"décrire, les, signes, cliniques, de, la, DNC, chez, les, bovins, ;"
761,Introduction à la dermatose nodulaire contagieuse,décrire les caractéristiques du virus de la DNC ;,"décrire, les, caractéristiques, du, virus, de, la, DNC, ;"
762,Introduction à la dermatose nodulaire contagieuse,décrire la répartition actuelle et l’historique de la DNC au niveau mondial ;,"décrire, la, répartition, actuelle, et, l, ’, historique, de, la, DNC, au, niveau, mondial, ;"
763,Laboratory PT workshop ANSES,"update and/or fine-tune participants’ knowledge on the selection of testing methods for FMD and the interpretation of the obtained test results, in relation to specific epidemiological contexts.   ","update, and/or, fine-tune, participants, ’, knowledge, selection, testing, methods, FMD, interpretation, obtained, test, results, ,, relation, specific, epidemiological, contexts, ."
764,LSD Spain,resumir las ventajas y desventajas de las medidas de control disponibles para la DNC;,"resumir, las, ventajas, desventajas, de, las, medidas, de, control, disponibles, para, la, DNC, ;"
765,LSD Spain,explicar las principales pruebas diagnósticas serológicas y virológicas de la DNC;,"explicar, las, principales, pruebas, diagnósticas, serológicas, virológicas, de, la, DNC, ;"
766,LSD Spain,explicar las consideraciones principales a tener en cuenta en la implementación de programas de vacunación para controlar la DNC.,"explicar, las, consideraciones, principales, tener, en, cuenta, en, la, implementación, de, programas, de, vacunación, para, controlar, la, DNC, ."
767,LSD Spain,explicar cómo recolectar y manipular muestras para permitir el diagnóstico de laboratorio de la DNC;,"explicar, cómo, recolectar, manipular, muestras, para, permitir, el, diagnóstico, de, laboratorio, de, la, DNC, ;"
768,LSD Spain,explicar cómo realizar una investigación epidemiológica en una explotación bajo sospecha de la DNC;,"explicar, cómo, realizar, una, investigación, epidemiológica, en, una, explotación, bajo, sospecha, de, la, DNC, ;"
769,LSD Spain,explicar cómo diseñar programas de vigilancia la DNC;,"explicar, cómo, diseñar, programas, de, vigilancia, la, DNC, ;"
770,LSD Spain,describir los signos clínicos de la DNC;,"describir, los, signos, clínicos, de, la, DNC, ;"
771,LSD Spain,"describir las características epidemiológicas clave de la DNC, incluyendo factores de riesgo y rutas de transmisión;","describir, las, características, epidemiológicas, clave, de, la, DNC, ,, incluyendo, factores, de, riesgo, rutas, de, transmisión, ;"
772,LSD Spain,describir la importancia global de la DNC;,"describir, la, importancia, global, de, la, DNC, ;"
773,Passive surveillance,Outline the importance and key activities of passive surveillance for FAST diseases;  ,"Outline, importance, key, activities, passive, surveillance, FAST, diseases, ;"
774,Passive surveillance,Locate and review key resources relevant to passive surveillance for FAST diseases. ,"Locate, review, key, resources, relevant, passive, surveillance, FAST, diseases, ."
775,Passive surveillance,Identify the main challenges of FAST diseases passive surveillance and propose practical approaches to overcome them;  ,"Identify, main, challenges, FAST, diseases, passive, surveillance, propose, practical, approaches, overcome, ;"
776,Passive surveillance,Develop a plan for effective sampling procedures upon suspicion of a FAST disease;  ,"Develop, plan, effective, sampling, procedures, upon, suspicion, FAST, disease, ;"
777,Passive surveillance,Apply passive surveillance data for the control of FAST diseases;  ,"Apply, passive, surveillance, data, control, FAST, diseases, ;"
778,Risk mapping for early detection and control of foot-and-mouth and similar transboundary animal diseases in SEEN workshop,"Support the monitoring of animal movements and the collection of risk information, compensating the absence of dedicated national animal identification systems and movement monitoring. ","Support, monitoring, animal, movements, collection, risk, information, ,, compensating, absence, dedicated, national, animal, identification, systems, movement, monitoring, ."
779,Risk mapping for early detection and control of foot-and-mouth and similar transboundary animal diseases in SEEN workshop,"Strengthen and operationalize the risk mapping, GIS, and spatial modelling community of practice in countries. ","Strengthen, operationalize, risk, mapping, ,, GIS, ,, spatial, modelling, community, practice, countries, ."
780,Risk mapping for early detection and control of foot-and-mouth and similar transboundary animal diseases in SEEN workshop,Enhance the capacities of the veterinary services in risk analysis and risk mapping (considering animal mobility and other risk factors) for the development of advanced disease risk-based surveillance and control programs.  ,"Enhance, capacities, veterinary, services, risk, analysis, risk, mapping, (, considering, animal, mobility, risk, factors, ), development, advanced, disease, risk-based, surveillance, control, programs, ."
781,Risk mapping for early detection and control of foot-and-mouth and similar transboundary animal diseases in the Near East,"To support the monitoring of animal movements and the collection of risk information, compensating the absence of dedicated national animal identification systems and movement monitoring. ","To, support, monitoring, animal, movements, collection, risk, information, ,, compensating, absence, dedicated, national, animal, identification, systems, movement, monitoring, ."
782,Risk mapping for early detection and control of foot-and-mouth and similar transboundary animal diseases in the Near East,"To strengthen and operationalize the risk mapping, GIS, and spatial modelling community of practice in countries. ","To, strengthen, operationalize, risk, mapping, ,, GIS, ,, spatial, modelling, community, practice, countries, ."
783,Risk mapping for early detection and control of foot-and-mouth and similar transboundary animal diseases in the Near East,To enhance the capacities of the veterinary services in risk analysis and risk mapping (considering animal mobility and other risk factors) for the development of advanced disease risk-based surveillance and control programs.  ,"To, enhance, capacities, veterinary, services, risk, analysis, risk, mapping, (, considering, animal, mobility, risk, factors, ), development, advanced, disease, risk-based, surveillance, control, programs, ."
784,Sheep Pox and Goat Pox Preparedness Course,recognize the typical clinical signs of SPP and GTP in infected animals;,"recognize, typical, clinical, signs, SPP, GTP, infected, animals, ;"
785,Sheep Pox and Goat Pox Preparedness Course,explain the main transmission pathways and other risk factors for SPP and GTP;,"explain, main, transmission, pathways, risk, factors, SPP, GTP, ;"
786,Sheep Pox and Goat Pox Preparedness Course,explain the benefits and drawbacks of the main diagnostic tests for SPP and GTP;,"explain, benefits, drawbacks, main, diagnostic, tests, SPP, GTP, ;"
787,Sheep Pox and Goat Pox Preparedness Course,explain general principles and types of surveillance and monitoring programmes for SPP and GTP; and,"explain, general, principles, types, surveillance, monitoring, programmes, SPP, GTP, ;"
788,Sheep Pox and Goat Pox Preparedness Course,describe the significance of SPP and GTP and the impact on trade;,"describe, significance, SPP, GTP, impact, trade, ;"
789,Sheep Pox and Goat Pox Preparedness Course,"describe the main control measures, including vaccination protocols.","describe, main, control, measures, ,, including, vaccination, protocols, ."
790,Sheep Pox and Goat Pox Preparedness Course,"describe the collection of samples for testing SPP and GTP, including preparation, management, and transportation;","describe, collection, samples, testing, SPP, GTP, ,, including, preparation, ,, management, ,, transportation, ;"
791,Sheep Pox and Goat Pox Preparedness Course,describe how to conduct epidemiological investigations of suspected/confirmed SPP and GTP outbreaks;,"describe, conduct, epidemiological, investigations, suspected/confirmed, SPP, GTP, outbreaks, ;"
792,virtual Real-time training Australia 2,Relate the recent changes in global and regional distribution of priority EADs to the evolving risk situation in Australia;,"Relate, recent, changes, global, regional, distribution, priority, EADs, evolving, risk, situation, Australia, ;"
793,virtual Real-time training Australia 2,Outline EAD preparedness activities and disease response options available in Australia.,"Outline, EAD, preparedness, activities, disease, response, options, available, Australia, ."
794,virtual Real-time training Australia 2,Interpret laboratory results relating to FMD diagnostic testing; ,"Interpret, laboratory, results, relating, FMD, diagnostic, testing, ;"
795,virtual Real-time training Australia 2,Highlight any key differences in the interpretation of laboratory results for FAST;,"Highlight, key, differences, interpretation, laboratory, results, FAST, ;"
796,virtual Real-time training Australia 2,Explain the principles of biosecurity and their application to personnel entering FMD infected premises;,"Explain, principles, biosecurity, application, personnel, entering, FMD, infected, premises, ;"
797,virtual Real-time training Australia 2,"Explain the epidemiology of FMD, including risk factors for transmission, mechanisms of disease spread;","Explain, epidemiology, FMD, ,, including, risk, factors, transmission, ,, mechanisms, disease, spread, ;"
798,virtual Real-time training Australia 2,Explain how to conduct a clinical examination and the typical clinical signs that would be seen in cases of FAST;,"Explain, conduct, clinical, examination, typical, clinical, signs, would, seen, cases, FAST, ;"
799,virtual Real-time training Australia 2,Explain how key differences in the pathogenesis and transmissibility of non-FMD EADs affect the biosecurity measures that should be applied;,"Explain, key, differences, pathogenesis, transmissibility, non-FMD, EADs, affect, biosecurity, measures, applied, ;"
800,virtual Real-time training Australia 2,Explain how key differences in the epidemiology of non-FMD EADs affect processes for outbreak investigation of these diseases;,"Explain, key, differences, epidemiology, non-FMD, EADs, affect, processes, outbreak, investigation, diseases, ;"
801,virtual Real-time training Australia 2,Estimate FMD lesion ages; Explain how to collect and submit appropriate samples to enable laboratory diagnosis of FAST;,"Estimate, FMD, lesion, ages, ;, Explain, collect, submit, appropriate, samples, enable, laboratory, diagnosis, FAST, ;"
802,virtual Real-time training Australia 2,"• Apply epidemiological principles to on-farm and in-field investigations, including design of investigation forms, construction of timelines and forward and backward tracing;","•, Apply, epidemiological, principles, on-farm, in-field, investigations, ,, including, design, investigation, forms, ,, construction, timelines, forward, backward, tracing, ;"
803,virtual Real-time training Australia 2," Describe the global distribution, significance and impacts of FMD and the risks and consequences of an FMD outbreak in Australia;","Describe, global, distribution, ,, significance, impacts, FMD, risks, consequences, FMD, outbreak, Australia, ;"
804,Intro au PER,initier ou aider à l'élaboration d'un PER ;,"initier, ou, aider, à, l'élaboration, d'un, PER, ;"
805,Intro au PER,identifier et accéder aux ressources supplémentaires disponibles pour aider à l'élaboration d'un PER.,"identifier, et, accéder, aux, ressources, supplémentaires, disponibles, pour, aider, à, l'élaboration, d'un, PER, ."
806,Intro au PER,expliquer l'importance du PER au sein de la PCP-FA ;,"expliquer, l'importance, du, PER, au, sein, de, la, PCP-FA, ;"
807,Intro au PER,"décrire l'expertise nécessaire pour contribuer au PER, la consultation des parties prenantes requise et fournir des exemples d'approches pour impliquer les parties prenantes ;","décrire, l'expertise, nécessaire, pour, contribuer, au, PER, ,, la, consultation, des, parties, prenantes, requise, et, fournir, des, exemples, d'approches, pour, impliquer, les, parties, prenantes, ;"
808,Intro au PER,décrire les informations et le contenu qui doivent être inclus dans un PER ;,"décrire, les, informations, et, le, contenu, qui, doivent, être, inclus, dans, un, PER, ;"
809,Intro au PER,décrire les critères qui peuvent être utilisés pour évaluer si l'élaboration d'un PER serait recommandée pour un pays ;,"décrire, les, critères, qui, peuvent, être, utilisés, pour, évaluer, si, l'élaboration, d'un, PER, serait, recommandée, pour, un, pays, ;"
810,Intro to Animal Health Surveillance,list the steps involved in a typical passive surveillance activity.,"list, steps, involved, typical, passive, surveillance, activity, ."
811,Intro to Animal Health Surveillance,explain the importance of animal health surveillance; ,"explain, importance, animal, health, surveillance, ;"
812,Intro to Animal Health Surveillance,define your own role and responsibilities in contributing to passive surveillance; ,"define, role, responsibilities, contributing, passive, surveillance, ;"
813,Intro to Animal Health Surveillance,categorize surveillance activities; ,"categorize, surveillance, activities, ;"
814,Intro to FMD,Samples that should be collected to enable laboratory diagnosis of FMD.,"Samples, collected, enable, laboratory, diagnosis, FMD, ."
815,Intro to FMD,"Pathogenesis of FMD, clinical signs, routes of transmission and outbreak investigation.","Pathogenesis, FMD, ,, clinical, signs, ,, routes, transmission, outbreak, investigation, ."
816,Intro to FMD,"Importance of emergency preparedness for, and early detection of, FMD outbreaks.","Importance, emergency, preparedness, ,, early, detection, ,, FMD, outbreaks, ."
817,Intro to FMD,Control measures that would be applied in the event of an FMD outbreak.,"Control, measures, would, applied, event, FMD, outbreak, ."
818,Intro to FMD,Biosecurity principles to reduce the risk of transmission.,"Biosecurity, principles, reduce, risk, transmission, ."
819,Intro to FMD FR,résumer les mesures de contrôle qui seraient appliquées en cas d’épizootie de fièvre aphteuse dans un pays auparavant indemne.,"résumer, les, mesures, de, contrôle, qui, seraient, appliquées, en, cas, ’, épizootie, de, fièvre, aphteuse, dans, un, pays, auparavant, indemne, ."
820,Intro to FMD FR,"lister les échantillons biologiques à prélever en priorité pour permettre le diagnostic en laboratoire de la fièvre aphteuse, ","lister, les, échantillons, biologiques, à, prélever, en, priorité, pour, permettre, le, diagnostic, en, laboratoire, de, la, fièvre, aphteuse, ,"
821,Intro to FMD FR,"expliquer pourquoi la fièvre aphteuse est extrêmement contagieuse, ","expliquer, pourquoi, la, fièvre, aphteuse, est, extrêmement, contagieuse, ,"
822,Intro to FMD FR,"expliquer par quelles voies la fièvre aphteuse peut être transmise, ","expliquer, par, quelles, voies, la, fièvre, aphteuse, peut, être, transmise, ,"
823,Intro to FMD FR,"expliquer l'importance de la préparation face aux crises sanitaires et de la détection précoce des foyers de fièvre aphteuse,  ","expliquer, l'importance, de, la, préparation, face, aux, crises, sanitaires, et, de, la, détection, précoce, des, foyers, de, fièvre, aphteuse, ,"
824,Intro to FMD FR,"expliquer comment appliquer les principes de biosécurité pour réduire le risque de transmission de la fièvre aphteuse, et enfin","expliquer, comment, appliquer, les, principes, de, biosécurité, pour, réduire, le, risque, de, transmission, de, la, fièvre, aphteuse, ,, et, enfin"
825,Intro to FMD FR,"décrire les signes cliniques de la fièvre aphteuse, ","décrire, les, signes, cliniques, de, la, fièvre, aphteuse, ,"
826,Intro to FMD FR,"décrire la pathogenèse de la fièvre aphteuse, ","décrire, la, pathogenèse, de, la, fièvre, aphteuse, ,"
827,Intro to LSD,summarize the key features of the epidemiology of LSD; ,"summarize, key, features, epidemiology, LSD, ;"
